,user,movie_recommendation
0,0,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Enchanted ', 'NeverEnding Story III, The ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'Tale of Despereaux, The ']"
1,1,"['Toy, The ', 'Fun ', 'Toy Soldiers ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Moana ', 'Goonies, The ', 'Enchanted ', 'Fun with Dick and Jane ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Straight Story, The ']"
2,2,"['Toy, The ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'A Detective Story ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ', 'Tale of Despereaux, The ', 'Straight Story, The ']"
3,3,"['Toy, The ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Love Story ', 'Watership Down ']"
4,4,"['NeverEnding Story, The ', 'Wild, The ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio ', 'Shrek the Third ', 'Tale of Despereaux, The ', 'Girls Just Want to Have Fun ', 'Epic ', 'Watership Down ', 'Gnomeo & Juliet ']"
5,5,"['Toy Story 3 ', 'Toy, The ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Wild, The ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ', 'Shrek the Third ']"
6,6,"['Toy, The ', 'Toy Soldiers ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ']"
7,7,"['Toy Story 2 ', 'Toy Story 3 ', 'Toy, The ', 'NeverEnding Story, The ', 'Wild, The ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Nelly & Monsieur Arnaud ', 'Rio 2 ', 'Rio ', 'NeverEnding Story II: The Next Chapter, The ', 'G.I. Joe: The Movie ']"
8,8,"['Toy Story 2 ', 'Toy Story 3 ', 'Toy Soldiers ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Home ', 'Turbo ', 'Shrek ', 'Goonies, The ', 'Enchanted ', 'Robots ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Rio 2 ', 'Rio ', 'G.I. Joe: The Movie ']"
9,9,"['Toy Story 3 ', 'Fun ', 'NeverEnding Story, The ', 'Christmas Story, A ', 'Wild, The ', 'In Search of the Castaways ', 'Turbo ', ""We're Back! A Dinosaur's Story "", 'Shrek ', 'Goonies, The ', 'Valiant ', 'Inside Out ', 'Fun with Dick and Jane ', 'Labyrinth ', 'A Story of Children and Film ', 'Madagascar ', 'Rio 2 ', 'Rio ', 'Tale of Despereaux, The ', 'Love Story ']"
